papel;ranking_dy
DESK3;1
PETR4;2
PETR3;3
GPAR3;4
BRPR3;5
CEBR6;6
CEBR5;7
CEBR3;8
EKTR4;9
SOND6;10
AGRO3;11
ALLD3;12
SOND5;13
CSRN5;14
CMIN3;15
CSRN6;16
MOVI3;17
EKTR3;18
CEEB5;19
CRPG6;20
CRPG5;21
CTSA4;22
TAEE11;23
TAEE3;24
TAEE4;25
UNIP6;26
BMGB4;27
UNIP3;28
CEEB3;29
UNIP5;30
EQPA3;31
CSRN3;32
GGBR3;33
LEVE3;34
ENAT3;35
CSNA3;36
BGIP4;37
SYNE3;38
CMIG4;39
CPLE3;40
CPLE11;41
CPLE6;42
GGBR4;43
CTSA3;44
CGAS5;45
CGRA4;46
CGRA3;47
CGAS3;48
RAPT3;49
BRAP3;50
BRAP4;51
ENBR3;52
LAVV3;53
EQPA7;54
TASA3;55
CPFE3;56
BBAS3;57
RAPT4;58
TASA4;59
JBSS3;60
FESA4;61
GOAU3;62
REDE3;63
KEPL3;64
GEPA3;65
ETER3;66
LIGT3;67
GEPA4;68
BRBI11;69
CSUD3;70
GOAU4;71
CRIV4;72
BEES3;73
POMO3;74
TKNO4;75
SAPR4;76
SAPR11;77
EQMA3B;78
CMIG3;79
BRSR6;80
USIM5;81
HBOR3;82
SAPR3;83
FESA3;84
BBSE3;85
WIZC3;86
BEES4;87
RPAD5;88
BRKM5;89
BRKM3;90
STBP3;91
SIMH3;92
BRSR3;93
VIVT3;94
CXSE3;95
EUCA4;96
ABCB4;97
USIM3;98
DIRR3;99
KLBN11;100
BBDC3;101
KLBN4;102
KLBN3;103
EUCA3;104
BRGE6;105
UCAS3;106
MYPK3;107
BBDC4;108
RANI3;109
MELK3;110
POMO4;111
MODL3;112
SANB3;113
CLSC4;114
SANB11;115
MRVE3;116
BRIV4;117
SANB4;118
TRIS3;119
NEOE3;120
TGMA3;121
LOGG3;122
MTSA4;123
MTRE3;124
BAZA3;125
DEXP4;126
JSLG3;127
SHUL4;128
FLRY3;129
EZTC3;130
BRSR5;131
CURY3;132
SLCE3;133
PORT3;134
PATI3;135
VBBR3;136
ABEV3;137
BNBR3;138
ITSA4;139
EGIE3;140
ITSA3;141
CLSC3;142
BPAN4;143
PFRM3;144
QUAL3;145
SUZB3;146
PGMN3;147
DEXP3;148
PTNT4;149
CALI3;150
WLMM4;151
RAIZ4;152
MLAS3;153
PEAB3;154
ROMI3;155
WLMM3;156
TRPL4;157
CAML3;158
USIM6;159
CIEL3;160
POSI3;161
BEEF3;162
VALE3;163
TIMS3;164
ITUB3;165
PTBL3;166
BMKS3;167
DXCO3;168
ALUP4;169
WHRL4;170
ALUP3;171
ALUP11;172
COCE5;173
ENMT3;174
B3SA3;175
LPSB3;176
PSSA3;177
ENMT4;178
BPAC5;179
HBTS5;180
CSED3;181
WHRL3;182
EALT4;183
AURA33;184
BALM4;185
GRND3;186
ITUB4;187
BRGE11;188
SMTO3;189
JOPA3;190
CBAV3;191
UGPA3;192
PRNR3;193
PTNT3;194
TRPL3;195
PLPL3;196
CYRE3;197
BOAS3;198
BALM3;199
CPLE5;200
LREN3;201
COCE3;202
CAMB3;203
EALT3;204
FRAS3;205
PINE4;206
BRGE8;207
VULC3;208
JHSF3;209
CCRO3;210
PARD3;211
DOHL4;212
TECN3;213
BPAC11;214
EVEN3;215
ENGI4;216
VITT3;217
ELET6;218
VLID3;219
LVTC3;220
GUAR3;221
PEAB4;222
RSUL4;223
ENGI11;224
HYPE3;225
MULT3;226
BLAU3;227
ARML3;228
BMEB4;229
CSAN3;230
AFLT3;231
ODPV3;232
RECV3;233
OFSA3;234
LIPR3;235
CRFB3;236
CSMG3;237
FIQE3;238
EQTL3;239
VVEO3;240
PCAR3;241
ARZZ3;242
BMEB3;243
JALL3;244
MILS3;245
TPIS3;246
CSAB4;247
PNVL3;248
BRIV3;249
ATOM3;250
RENT3;251
BPAC3;252
MRSA5B;253
MOAR3;254
EMAE4;255
AGXY3;256
ENGI3;257
VAMO3;258
BSLI4;259
SBSP3;260
TUPY3;261
YDUQ3;262
TFCO4;263
ELET3;264
AERI3;265
BMOB3;266
RDOR3;267
AMBP3;268
IGTI3;269
BSLI3;270
WEGE3;271
SBFG3;272
NGRD3;273
INTB3;274
IGTI11;275
DASA3;276
TOTS3;277
RADL3;278
MATD3;279
SOMA3;280
SCAR3;281
ALSO3;282
RDNI3;283
ASAI3;284
AESB3;285
LUXM4;286
NTCO3;287
SOJA3;288
MDIA3;289
CBEE3;290
SQIA3;291
PETZ3;292
JPSA3;293
VIVA3;294
APER3;295
ECOR3;296
TTEN3;297
RAIL3;298
BRIT3;299
TRAD3;300
RPAD6;301
RPAD3;302
