papel;ranking_roe
CGAS5;1
CGAS3;2
BEEF3;3
RNEW11;4
RNEW4;5
RNEW3;6
BBSE3;7
FHER3;8
SYNE3;9
BRAP4;10
BRAP3;11
BTTL3;12
GPAR3;13
SUZB3;14
UNIP3;15
UNIP6;16
UNIP5;17
EPAR3;18
KEPL3;19
TASA4;20
TASA3;21
PETR3;22
PETR4;23
VALE3;24
RSUL4;25
KLBN4;26
KLBN3;27
KLBN11;28
LOGN3;29
CURY3;30
JBSS3;31
PTBL3;32
ATOM3;33
CSRN5;34
CSRN6;35
CSRN3;36
JALL3;37
ODPV3;38
REDE3;39
CCRO3;40
WIZC3;41
ENMT4;42
ENMT3;43
FESA4;44
FESA3;45
LEVE3;46
PRIO3;47
EKTR4;48
EKTR3;49
RANI3;50
CAMB3;51
CPFE3;52
EQPA7;53
EQPA3;54
EGIE3;55
ASAI3;56
TFCO4;57
NUTR3;58
WEGE3;59
SOND5;60
SOND6;61
CBAV3;62
SLCE3;63
VULC3;64
CXSE3;65
PLPL3;66
TAEE4;67
TAEE11;68
TAEE3;69
CEEB3;70
CEEB5;71
DMFN3;72
CMIN3;73
CALI3;74
GGBR3;75
GGBR4;76
SHUL4;77
DEXP3;78
DEXP4;79
BAZA3;80
GOAU4;81
GOAU3;82
BNBR3;83
RECV3;84
WHRL3;85
WHRL4;86
MTSA4;87
BRKM3;88
BRKM6;89
BRKM5;90
INTB3;91
VITT3;92
AURA33;93
EALT4;94
EALT3;95
B3SA3;96
VIVA3;97
ITSA3;98
ITSA4;99
ETER3;100
CEBR3;101
CEBR6;102
CEBR5;103
TTEN3;104
ENGI11;105
ENGI4;106
ENGI3;107
MOVI3;108
BBAS3;109
BSLI4;110
BSLI3;111
GGPS3;112
BLAU3;113
TKNO4;114
ROMI3;115
STBP3;116
UCAS3;117
BALM4;118
BALM3;119
CSUD3;120
SMTO3;121
EQMA3B;122
WLMM3;123
WLMM4;124
RADL3;125
BPAC5;126
BPAC11;127
BPAC3;128
VAMO3;129
ITUB3;130
ITUB4;131
BRBI11;132
FLRY3;133
TGMA3;134
CLSC4;135
CLSC3;136
PARD3;137
OFSA3;138
EUCA3;139
EUCA4;140
NEOE3;141
ABEV3;142
AURE3;143
MILS3;144
CMIG3;145
CMIG4;146
RAPT3;147
RAPT4;148
SIMH3;149
TUPY3;150
JHSF3;151
BEES3;152
BEES4;153
COCE5;154
COCE3;155
ARZZ3;156
SOJA3;157
CAML3;158
HYPE3;159
VBBR3;160
BMEB4;161
BMEB3;162
POSI3;163
QUAL3;164
UGPA3;165
ABCB4;166
SANB11;167
SANB3;168
SANB4;169
PRNR3;170
AFLT3;171
CIEL3;172
EQTL3;173
CGRA3;174
CGRA4;175
POMO3;176
POMO4;177
GMAT3;178
TRPL4;179
TRPL3;180
JSLG3;181
BBDC3;182
BBDC4;183
ALUP4;184
ALUP3;185
ALUP11;186
SAPR4;187
SAPR3;188
SAPR11;189
GRND3;190
DIRR3;191
DXCO3;192
LREN3;193
MOAR3;194
MRSA5B;195
BGIP4;196
MYPK3;197
PTNT4;198
PTNT3;199
LIPR3;200
CYRE3;201
FIQE3;202
VVEO3;203
BOAS3;204
PORT3;205
MULT3;206
CRPG5;207
CRPG6;208
FRAS3;209
TOTS3;210
EMAE4;211
SBSP3;212
BMKS3;213
ARML3;214
LOGG3;215
PSSA3;216
TECN3;217
MLAS3;218
RDOR3;219
LAVV3;220
CSAB4;221
HBRE3;222
ENBR3;223
JPSA3;224
MDIA3;225
ENAT3;226
AZEV4;227
AZEV3;228
MELK3;229
BPAN4;230
RENT3;231
MDNE3;232
AMBP3;233
CSMG3;234
CRFB3;235
SBFG3;236
BAUH4;237
BMOB3;238
EZTC3;239
CSNA3;240
LUXM4;241
PNVL3;242
ENEV3;243
BRSR3;244
BRSR5;245
BRSR6;246
EVEN3;247
BMIN4;248
BMIN3;249
PFRM3;250
GEPA3;251
GEPA4;252
BRIV4;253
BRIV3;254
USIM6;255
USIM5;256
USIM3;257
MATD3;258
ECOR3;259
PATI3;260
TIMS3;261
BRGE11;262
BRGE8;263
BRGE6;264
BRGE3;265
BRGE12;266
LPSB3;267
RPAD6;268
RPAD5;269
RPAD3;270
AGRO3;271
VIVT3;272
BMGB4;273
CSAN3;274
JOPA3;275
DESK3;276
ALLD3;277
PINE4;278
TRIS3;279
SOMA3;280
CRIV4;281
CRIV3;282
ELET6;283
ELET5;284
ELET3;285
CPLE6;286
CPLE5;287
CPLE11;288
CPLE3;289
ALSO3;290
APER3;291
SQIA3;292
HBOR3;293
MTRE3;294
LVTC3;295
RRRP3;296
AESB3;297
RAIL3;298
RDNI3;299
CSED3;300
NGRD3;301
DOHL4;302
DMVF3;303
PETZ3;304
BRIT3;305
MODL3;306
HBTS5;307
ALPA4;308
ALPA3;309
VLID3;310
PDTC3;311
GUAR3;312
LJQQ3;313
RAIZ4;314
AMER3;315
IGTI11;316
IGTI3;317
LWSA3;318
CEAB3;319
